'MNC Play Media Hadirkan Internet Ngebut untuk Main Game https://t.co/OvQP4n9zFI #SelaluBerita',netral,,,,,,,,,,,,,,,,,,,,
'butuh bayar PLN  Speedy dan Lain sebagainya? bisa hubungi kami di 0811 98 330 39 (#iqbalseptari) BBM : 53E6A48F',netral,,,,,,,,,,,,,,,,,,,,
'makin lama makin nyeseek makek speedy yaa (y) â€” muak',negatif,,,,,,,,,,,,,,,,,,,,
'2. Saya melanggan 3 mbps  jauh panggang dari api. Dua teknisi Speedy yg datang kemarin ternyata  blm bisa mengatasi masalah.',negatif,,,,,,,,,,,,,,,,,,,,
'@TelkomCare bisa di infokan tarif indihome  speedy wifi area pekalongan jateng?',netral,,,,,,,,,,,,,,,,,,,,
'@yudistirop apaan tuh  ini emang speedy nya aja nih aneh',negatif,,,,,,,,,,,,,,,,,,,,
'@Speedy_Villain amin wa iyyak',netral,,,,,,,,,,,,,,,,,,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game: MNC Play Media penyedia akses internet sebagai wadah ... https://t.co/8Zs9mP6jHt',netral,,,,,,,,,,,,,,,,,,,,
'In shaa ALLAH. Setiap jalan kebaikan pasti akan dibantu oleh nya. https://t.co/m5zWuwtFPV',netral,,,,,,,,,,,,,,,,,,,,
'@iemanajid demam dak .takecare .speedy recovery watimohlandok hukhuk',netral,,,,,,,,,,,,,,,,,,,,
'Fasilitas : -harga pulsa murah -bayar tagihan listrik pln prabayar/pascabayar -bayar tagihan speedy  pdam  tv kabel -voucher game online',netral,,,,,,,,,,,,,,,,,,,,
'Dulu jaman speedy masih berkuota  semua informasi kalau bisa didapatkan dalam bentuk teks saja (dan beberapa gambar yang berukuran kecil).',netral,,,,,,,,,,,,,,,,,,,,
'@TelkomCare selamat malem koneksi speedy sy lemot skli sudah 3 hari di nomor 076195190 mohon perbaikannya  dan pyku sering gangguan',negatif,,,,,,,,,,,,,,,,,,,,
'@TelkomCare internet speedy saya kok mati ya sejak 1 november  padahal tagihan sudah saya bayar',negatif,,,,,,,,,,,,,,,,,,,,
"'Hahaha mana maen speedy dek  bolt lah sekarang woooo - - ""@SusiSuseng : Cepat2 pake speedylah bg https://t.co/PY5n7g1d0L'",negatif,,,,,,,,,,,,,,,,,,,,
'Baru pasang 2 minggu indihome terasa jauh beda dgn speedy....',positif,,,,,,,,,,,,,,,,,,,,
'Mari mampir ke #Blog https://t.co/NaCVsflNiT ada username password speedy instan TERBARU #UpdateBlog @Updateblog #EkiEnglandMuse',netral,,,,,,,,,,,,,,,,,,,,
'@Speedy_Villain jazakallah khair akhil kareem',netral,,,,,,,,,,,,,,,,,,,,
'@TelkomCare inet speedy-nya mati nih dr knaren malem  tolong bantuannya.',negatif,,,,,,,,,,,,,,,,,,,,
'@TelkomCare halo  saya sudah DM untuk mohon bantuan errornya koneksi speedy saya. Mohon bantuannya. Thx.',negatif,,,,,,,,,,,,,,,,,,,,
'Speedy kentod gangguan wae',negatif,,,,,,,,,,,,,,,,,,,,
'W_@340rb CK speedy A010 transculent semprem 24 5x13x16cm  16 5x5x10cm ada gantungan cermin. https://t.co/H14720BKvh',netral,,,,,,,,,,,,,,,,,,,,
'Speedy gangguan  tweet ga kekirim  kelar idup lo. Untungnya gw make ts*el. //terima kasih tse*l',negatif,,,,,,,,,,,,,,,,,,,,
'@TelkomCare admin ini speedy saya bermasalah. Dr siang td ga bisa access. Lamounya merah terus. Mohon utk ditindak lanjuti',negatif,,,,,,,,,,,,,,,,,,,,
'@TelkomCare malam speedy.. errornya masih lama yach... duuh.. capek dech nungguin kelar nich masalah. #parah #speedylelet #complainnorespon',negatif,,,,,,,,,,,,,,,,,,,,
'@TelkomCare ini speedy saya bermasalah hampir 15 hari  besok bayar speedy-nya full  gimana ga kaya min telkom.',negatif,,,,,,,,,,,,,,,,,,,,
'@TelkomCare itu nomer masih aktif. Bt speedy jg.  ada tlpn rmh tp krn rmh kosong.g d pke.dan g prnh d byr blnnnya.',netral,,,,,,,,,,,,,,,,,,,,
"'Saya mengirim 4 foto di Facebook dalam album ""CNK ESTONIA SPEEDY BEHEL 200RB"" https://t.co/UI0Psf40rf'",netral,,,,,,,,,,,,,,,,,,,,
'@TelkomCare ini sih cara telkom buat ngalihin ke indihome fiber  makanya speedy di bikin lelet.',negatif,,,,,,,,,,,,,,,,,,,,
'Dari sem 1 tau plan tp tk pernah jd sbb mcm mcm hal hahaha but how i wish aleen ada skali td. Hmm speedy recovery aleen_Ÿ˜˜',netral,,,,,,,,,,,,,,,,,,,,
'@TelkomCare malam kak  ini kenapa speedy saya sering connection down ya akhir akhir ini. Lalu kapan diganti fiber?',negatif,,,,,,,,,,,,,,,,,,,,
'@TelkomCare tolong dong speedy disconect lagi di nomor 111605144198 an Orient Pantas.',negatif,,,,,,,,,,,,,,,,,,,,
'@ERPESTAR speedy 400rb/bln',netral,,,,,,,,,,,,,,,,,,,,
'@ERPESTAR berapaan ya gua pake speedy  ga ngerti berapaan tuh wkwk',netral,,,,,,,,,,,,,,,,,,,,
'[] 400. Itu first media. Sekalian tv. Kalo speedy 200an https://t.co/Rh1dgBYrti',netral,,,,,,,,,,,,,,,,,,,,
'@TelkomCare  mau  nanyak kenapa speedy nya dari ngak konek lampu idikator cuma dua hidup internet mati dll ',negatif,,,,,,,,,,,,,,,,,,,,
'promo gucci speedy kanvas 26x16cm 235rb Line : melinamelimelz WA : 083820110220 #jualan #jualanmurahâ€_ https://t.co/2Dnluyt6y9',,,,,,,,,,,,,,,,,,,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game: MNC Play Media penyedia akses internet sebagai wadah ... https://t.co/1rers7cOEb',,,,,,,,,,,,,,,,,,,,,
'promo gucci speedy kanvas 26x16cm 235rb Line : melinamelimelz WA : 083820110220 #jualan #jualanmurahâ€_ https://t.co/65nFz7Y3g0',,,,,,,,,,,,,,,,,,,,,
'@TelkomCare kalau mau berhenti berlangganan speedy gmana?? Saya tidak ada waktu ke plasa telkom :(',,,,,,,,,,,,,,,,,,,,,
'Wah malang bakal bnyk provider inet  first media  mnc  my republic  indiehome nya speedy bnyk saingan nih waktu nya pindah ;)',,,,,,,,,,,,,,,,,,,,,
'@team_speedy_cat katapan',,,,,,,,,,,,,,,,,,,,,
'Ck speedy  IDR 200rb https://t.co/u1jLqw7LK5',,,,,,,,,,,,,,,,,,,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game https://t.co/TpsmMY6BmC #muhamadsidiq_id',,,,,,,,,,,,,,,,,,,,,
'butuh bayar PLN  Speedy dan Lain sebagainya? bisa hubungi kami di 0811 98 330 39 (#iqbalseptari) BBM : 53E6A48F',,,,,,,,,,,,,,,,,,,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game: MNC Play Media penyedia akses internet sebagai wadah ... https://t.co/o5NJ2i2v4A',,,,,,,,,,,,,,,,,,,,,
'Kode: LV speedy epi leather merah  Harga Super Premium: Rp. 1.550.000  Size: p 29 x t 24 x l17 cm https://t.co/S291GLbJIY',,,,,,,,,,,,,,,,,,,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game https://t.co/DhrSa3XPh8 #RI70',,,,,,,,,,,,,,,,,,,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game https://t.co/bZ6r0OAAg5 #RI70',,,,,,,,,,,,,,,,,,,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game https://t.co/EckL4RvOyq',,,,,,,,,,,,,,,,,,,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game https://t.co/o4zYwFJFdu',,,,,,,,,,,,,,,,,,,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game https://t.co/kRR3bQqI0U',,,,,,,,,,,,,,,,,,,,,
'@TelkomCare ini speedy kenapa ya? Kok tiba2 limited access? Lampu wifi nyala hanya 2 tolong tanggapannya',,,,,,,,,,,,,,,,,,,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game https://t.co/JtIuTI9BBJ',,,,,,,,,,,,,,,,,,,,,
'@Telkomcare apa karena lg masuk jaringan fiber optik jd yg jaringan tembaga keganggu.semenjak ada yg nawarin si fiber optik kacau speedy ...',,,,,,,,,,,,,,,,,,,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game: MNC Play Media penyedia akses internet sebagai wadah ... https://t.co/Payls4LYfP',,,,,,,,,,,,,,,,,,,,,
'@Telkomcare speedy kecepatan 3 MB buat maen getrich aja gak kuat.apa apaan ini !!!! Youtube buffering terus.dr tgl 1 begini terus (1)',,,,,,,,,,,,,,,,,,,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game: MNC Play Media penyedia akses internet sebagai wadah ... https://t.co/DNId9cbghw',,,,,,,,,,,,,,,,,,,,,
'@Telkomcare ini speedy knapa yach ?? Masa iya cuma main getrich di hape aja down terus jaringan',,,,,,,,,,,,,,,,,,,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game: MNC Play Media penyedia akses internet sebagai wadah ... https://t.co/XHLFdCIsWk',,,,,,,,,,,,,,,,,,,,,
'@TelkomCare Internet speedy saya masih terisolir padahal saya udah bayar..no speedynya 122844240427',,,,,,,,,,,,,,,,,,,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game https://t.co/HtVBrry0UY',,,,,,,,,,,,,,,,,,,,,
'@TelkomCare Speedy saya masih terisolir padahal udah bayar no.speedy 122844240427',,,,,,,,,,,,,,,,,,,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game: MNC Play Media penyedia akses internet sebagai wadah ... https://t.co/e11IzF5znH',,,,,,,,,,,,,,,,,,,,,
'Udah bawa laptop gembolan karena Anaku minta downloadin sinetron tukang ojek apalah itu. dan telkom speedy error semuak! Fak!',,,,,,,,,,,,,,,,,,,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game: MNC Play Media penyedia akses internet sebagai wadah ... https://t.co/Yel9VVVggW',,,,,,,,,,,,,,,,,,,,,
'@TelkomCare  Sy Hendrik   nomer speedy 12230222687  telpon 0251 8320231. Internet sering putus2 sehari bisa puluhan kali  udah berbulan2.',,,,,,,,,,,,,,,,,,,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game https://t.co/jEjR7Cv6zF',,,,,,,,,,,,,,,,,,,,,
'@TelkomCare no speedy atau no telponnya min? Untuk daftar harga paketnya bisa dilihat dimana?',,,,,,,,,,,,,,,,,,,,,
'@iamfeams speedy recovery my dear. Makan ubat tu even taknak sekalipun.',,,,,,,,,,,,,,,,,,,,,
'mau dipermudah bayar tagihan air  listrik  beli pulsa  tagihan motor  tv  telkom  speedy dll dan juga beli tiket pesawat  ayo pakai #PAYTREN',,,,,,,,,,,,,,,,,,,,,
'RT @aisyahnurhani: 6 days in ICU. Finally _Ÿ˜‡ alhamdulillah. Abg dah sedar dari koma. Speedy recovery abg #blessed https://t.co/MSaOab1KUN',,,,,,,,,,,,,,,,,,,,,
'Cara Memblokir Koneksi yang Menggunakan WiFi Speedy Kita | Kusnendar https://t.co/Cr8wAXK21d',,,,,,,,,,,,,,,,,,,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game: MNC Play Media penyedia akses internet sebagai wadah ... https://t.co/ztaT16y5hZ',,,,,,,,,,,,,,,,,,,,,
'NAMA : CNK ESTONIA SPEEDY BEHEL UKURAN : 29X15X17 Cm BERAT : 1 Kg KUALITAS : SUPER HARGA : Rp. 230.000 https://t.co/XoOdwb0Qul',,,,,,,,,,,,,,,,,,,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game: MNC Play Media penyedia akses internet sebagai wadah ... https://t.co/XF8hWMMyOv',,,,,,,,,,,,,,,,,,,,,
'@kateyont wkwk kesel gua nun :v masa iya ada tugas kadang musti ke wifi corner nya  speedy :v []',,,,,,,,,,,,,,,,,,,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game https://t.co/e2uAcbbUcL',,,,,,,,,,,,,,,,,,,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game https://t.co/qvlUuXmlVT',,,,,,,,,,,,,,,,,,,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game: MNC Play Media penyedia akses internet sebagai wadah ... https://t.co/OgZiuTuVom',,,,,,,,,,,,,,,,,,,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game: MNC Play Media penyedia akses internet sebagai wadah ... https://t.co/iy0iaKRccT',,,,,,,,,,,,,,,,,,,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game: MNC Play Media penyedia akses internet sebagai wadah ... https://t.co/a6KIuik3P1',,,,,,,,,,,,,,,,,,,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game: MNC Play Media penyedia akses internet sebagai wadah ... https://t.co/o0qridu27Y',,,,,,,,,,,,,,,,,,,,,
'6 days in ICU. Finally _Ÿ˜‡ alhamdulillah. Abg dah sedar dari koma. Speedy recovery abg #blessed https://t.co/MSaOab1KUN',,,,,,,,,,,,,,,,,,,,,
'@kateyont wkwk enak ya/? jadi pgn ganti speedy wkwk',,,,,,,,,,,,,,,,,,,,,
'Dear @TelkomCare speedy saya tidak bisa akses https. Mohon bantuannya.',,,,,,,,,,,,,,,,,,,,,
'@TelkomCare malam  mau lapor gangguan speedy 0271 851400 mohon di follup.',,,,,,,,,,,,,,,,,,,,,
'@innasz [2/2] dan untuk Speedy silakan mention langsung ke @TelkomCare ya :) -Dodo',,,,,,,,,,,,,,,,,,,,,
'Dear  @TelkomCare @Telkomsel. Kenapa belakangan koneksi internetnya sering down  yaa? Kartuhalo dan Speedy. Jadi ngga bisa saling back up.',,,,,,,,,,,,,,,,,,,,,
'Speedy recovery ye ayahku ;') (@ Hospital Sultan Haji Ahmad Shah Temerloh in Temerloh  Pahang) https://t.co/RecwAL4zs0',,,,,,,,,,,,,,,,,,,,,
'Udah 4 jam lebih koneksi speedy putus terus bisa dicekkah @TelkomCare ?',,,,,,,,,,,,,,,,,,,,,
'@TelkomCare speedy saya udah OK. Tolong dunkk jaringan tua nya diganti smua dr pd gangguan begini trus! Mslhnya dpke kerja',,,,,,,,,,,,,,,,,,,,,
'@TelkomCare Speedy saya 152445200696 sejak tadi pagi gak bisa..??',,,,,,,,,,,,,,,,,,,,,
