'MNC Play Media Hadirkan Internet Ngebut untuk Main Game https://t.co/OvQP4n9zFI #SelaluBerita',netral,,,
'butuh bayar PLN  Speedy dan Lain sebagainya? bisa hubungi kami di 0811 98 330 39 (#iqbalseptari) BBM : 53E6A48F',netral,,,
'makin lama makin nyeseek makek speedy yaa (y) äóî muak',negatif,,,
'2. Saya melanggan 3 mbps  jauh panggang dari api. Dua teknisi Speedy yg datang kemarin ternyata  blm bisa mengatasi masalah.',negatif,,,
'@TelkomCare bisa di infokan tarif indihome  speedy wifi area pekalongan jateng?',netral,,,
'@yudistirop apaan tuh  ini emang speedy nya aja nih aneh',negatif,,,
'@Speedy_Villain amin wa iyyak',netral,,,
'MNC Play Media Hadirkan Internet Ngebut untuk Main Game: MNC Play Media penyedia akses internet sebagai wadah ... https://t.co/8Zs9mP6jHt',netral,,,
'In shaa ALLAH. Setiap jalan kebaikan pasti akan dibantu oleh nya. https://t.co/m5zWuwtFPV',netral,,,
'@iemanajid demam dak .takecare .speedy recovery watimohlandok hukhuk',netral,,,
'Fasilitas : -harga pulsa murah -bayar tagihan listrik pln prabayar/pascabayar -bayar tagihan speedy  pdam  tv kabel -voucher game online',netral,,,
'Dulu jaman speedy masih berkuota  semua informasi kalau bisa didapatkan dalam bentuk teks saja (dan beberapa gambar yang berukuran kecil).',netral,,,
'@TelkomCare selamat malem koneksi speedy sy lemot skli sudah 3 hari di nomor 076195190 mohon perbaikannya  dan pyku sering gangguan',negatif,,,
'@TelkomCare internet speedy saya kok mati ya sejak 1 november  padahal tagihan sudah saya bayar',negatif,,,
"'Hahaha mana maen speedy dek  bolt lah sekarang woooo - - ""@SusiSuseng : Cepat2 pake speedylah bg https://t.co/PY5n7g1d0L'",negatif,,,
'Baru pasang 2 minggu indihome terasa jauh beda dgn speedy....',positif,,,
'Mari mampir ke #Blog https://t.co/NaCVsflNiT ada username password speedy instan TERBARU #UpdateBlog @Updateblog #EkiEnglandMuse',netral,,,
'@Speedy_Villain jazakallah khair akhil kareem',netral,,,
'@TelkomCare inet speedy-nya mati nih dr knaren malem  tolong bantuannya.',negatif,,,
'@TelkomCare halo  saya sudah DM untuk mohon bantuan errornya koneksi speedy saya. Mohon bantuannya. Thx.',negatif,,,
'Speedy kentod gangguan wae',negatif,,,
'W_@340rb CK speedy A010 transculent semprem 24 5x13x16cm  16 5x5x10cm ada gantungan cermin. https://t.co/H14720BKvh',netral,,,
'Speedy gangguan  tweet ga kekirim  kelar idup lo. Untungnya gw make ts*el. //terima kasih tse*l',negatif,,,
'@TelkomCare admin ini speedy saya bermasalah. Dr siang td ga bisa access. Lamounya merah terus. Mohon utk ditindak lanjuti',negatif,,,
'@TelkomCare malam speedy.. errornya masih lama yach... duuh.. capek dech nungguin kelar nich masalah. #parah #speedylelet #complainnorespon',negatif,,,
'@TelkomCare ini speedy saya bermasalah hampir 15 hari  besok bayar speedy-nya full  gimana ga kaya min telkom.',negatif,,,
'@TelkomCare itu nomer masih aktif. Bt speedy jg.  ada tlpn rmh tp krn rmh kosong.g d pke.dan g prnh d byr blnnnya.',netral,,,
"'Saya mengirim 4 foto di Facebook dalam album ""CNK ESTONIA SPEEDY BEHEL 200RB"" https://t.co/UI0Psf40rf'",netral,,,
'@TelkomCare ini sih cara telkom buat ngalihin ke indihome fiber  makanya speedy di bikin lelet.',negatif,,,
'Dari sem 1 tau plan tp tk pernah jd sbb mcm mcm hal hahaha but how i wish aleen ada skali td. Hmm speedy recovery aleen_ôÖÖ',netral,,,
'@TelkomCare malam kak  ini kenapa speedy saya sering connection down ya akhir akhir ini. Lalu kapan diganti fiber?',negatif,,,
'@TelkomCare tolong dong speedy disconect lagi di nomor 111605144198 an Orient Pantas.',negatif,,,
'@ERPESTAR speedy 400rb/bln',netral,,,
'@ERPESTAR berapaan ya gua pake speedy  ga ngerti berapaan tuh wkwk',netral,,,
'[] 400. Itu first media. Sekalian tv. Kalo speedy 200an https://t.co/Rh1dgBYrti',netral,,,
'@TelkomCare  mau  nanyak kenapa speedy nya dari ngak konek lampu idikator cuma dua hidup internet mati dll ',negatif,,,
'promo gucci speedy kanvas 26x16cm 235rb Line : melinamelimelz WA : 083820110220 #jualan #jualanmurahäó_ https://t.co/2Dnluyt6y9',netral,,,
'@TelkomCare kalau mau berhenti berlangganan speedy gmana?? Saya tidak ada waktu ke plasa telkom :(',netral,,,
'Wah malang bakal bnyk provider inet  first media  mnc  my republic  indiehome nya speedy bnyk saingan nih waktu nya pindah ;)',netral,,,
'@team_speedy_cat katapan',netral,,,
'Ck speedy  IDR 200rb https://t.co/u1jLqw7LK5',netral,,,
'butuh bayar PLN  Speedy dan Lain sebagainya? bisa hubungi kami di 0811 98 330 39 (#iqbalseptari) BBM : 53E6A48F',netral,,,
'Kode: LV speedy epi leather merah  Harga Super Premium: Rp. 1.550.000  Size: p 29 x t 24 x l17 cm https://t.co/S291GLbJIY',netral,,,
'@TelkomCare ini speedy kenapa ya? Kok tiba2 limited access? Lampu wifi nyala hanya 2 tolong tanggapannya',negatif,,,
'@Telkomcare apa karena lg masuk jaringan fiber optik jd yg jaringan tembaga keganggu.semenjak ada yg nawarin si fiber optik kacau speedy ...',negatif,,,
'@Telkomcare speedy kecepatan 3 MB buat maen getrich aja gak kuat.apa apaan ini !!!! Youtube buffering terus.dr tgl 1 begini terus (1)',negatif,,,
'@Telkomcare ini speedy knapa yach ?? Masa iya cuma main getrich di hape aja down terus jaringan',negatif,,,
'@TelkomCare Internet speedy saya masih terisolir padahal saya udah bayar..no speedynya 122844240427',negatif,,,
'Udah bawa laptop gembolan karena Anaku minta downloadin sinetron tukang ojek apalah itu. dan telkom speedy error semuak! Fak!',negatif,,,
'@TelkomCare  Sy Hendrik   nomer speedy 12230222687  telpon 0251 8320231. Internet sering putus2 sehari bisa puluhan kali  udah berbulan2.',negatif,,,
@TelkomCare no speedy atau no telponnya min? Untuk daftar harga paketnya bisa dilihat dimana?',netral,,,
'@iamfeams speedy recovery my dear. Makan ubat tu even taknak sekalipun.',netral,,,
'mau dipermudah bayar tagihan air  listrik  beli pulsa  tagihan motor  tv  telkom  speedy dll dan juga beli tiket pesawat  ayo pakai #PAYTREN',netral,,,
'RT @aisyahnurhani: 6 days in ICU. Finally _ôÖˆ alhamdulillah. Abg dah sedar dari koma. Speedy recovery abg #blessed https://t.co/MSaOab1KUN',netral,,,
'Cara Memblokir Koneksi yang Menggunakan WiFi Speedy Kita | Kusnendar https://t.co/Cr8wAXK21d',netral,,,
'NAMA : CNK ESTONIA SPEEDY BEHEL UKURAN : 29X15X17 Cm BERAT : 1 Kg KUALITAS : SUPER HARGA : Rp. 230.000 https://t.co/XoOdwb0Qul',netral,,,
'@kateyont wkwk kesel gua nun :v masa iya ada tugas kadang musti ke wifi corner nya  speedy :v []',negatif,,,
'@kateyont wkwk enak ya/? jadi pgn ganti speedy wkwk',positif,,,
'Dear @TelkomCare speedy saya tidak bisa akses https. Mohon bantuannya.',negatif,,,
'@TelkomCare malam  mau lapor gangguan speedy 0271 851400 mohon di follup.',negatif,,,
'@innasz [2/2] dan untuk Speedy silakan mention langsung ke @TelkomCare ya :) -Dodo',netral,,,
'Dear  @TelkomCare @Telkomsel. Kenapa belakangan koneksi internetnya sering down  yaa? Kartuhalo dan Speedy. Jadi ngga bisa saling back up.',negatif,,,
'Speedy recovery ye ayahku ;') (@ Hospital Sultan Haji Ahmad Shah Temerloh in Temerloh  Pahang) https://t.co/RecwAL4zs0',netral,,,
'Udah 4 jam lebih koneksi speedy putus terus bisa dicekkah @TelkomCare ?',negatif,,,
'@TelkomCare speedy saya udah OK. Tolong dunkk jaringan tua nya diganti smua dr pd gangguan begini trus! Mslhnya dpke kerja',negatif,,,
'@TelkomCare Speedy saya 152445200696 sejak tadi pagi gak bisa..??',negatif,,,
'@TelkomCare mau nanya jaringan Speedy di daerah Rempoa lagi Down yah?',netral,,,
'@cchilaw udah ciii...akhirnyaaa TT  udah jalan lagi  dr speedy yg eror',positif,,,
'Speedy recovery my didot. I love you  nak jmp byk nak cerita. Hiks. Muahh @nsyahidaismadi',netral,,,
'@TelkomCare min untuk pertanyaan ttg speedy tanya kemana ya?atau kesini?',netral,,,
"'min @telkomcare  speedy di rumah saya mati lagi. gmana ini toh --""'",negatif,,,
'@TelkomCare koneksi speedy lambat sekali kak. Apakah ada gangguan? Nmr tlp 0274889330',negatif,,,
'om @telkomcare  speedy makin ngaco nih  mau pindah provider aja boleh nggak?',negatif,,,
'@TelkomCare min. Saya berlangganan speedy 'tanpa telf'. Tapi kok di my.telkom keluar tagihan telepon yg harus dibayarkan? Gimana solusinya?!',negatif,,,
'With Fitrianii and Lina alsyhab muzdhalifah at Speedy Karting äóî https://t.co/WkOXK2f0il',netral,,,
'@TelkomCare bgm caranya upgrade speedy dari kabel tembaga ke fiber & berapa biayanya',netral,,,
'@TelkomCare  telpon dan speedy CITRA INDAH mati dari pagi sampai skrg blm ada perbaikan mohon di cek',negatif,,,
'@cchilaw ci speedy mu brmasalah g?',netral,,,
'Min @TelkomCare knp speedy saya tidak tembus 1 Mbps speednya? Padahal harusnya bisa kan. https://t.co/qUEcfrQ5Py',negatif,,,
'@TelkomSolution gda tlp cuma speedy aja.. jringan internetnya ajaaa.. bisa cpt sperbaiki tidaaak...',netral,,,
'@TelkomCare permisi  cs telkom care  jaringan internet di tempat saya kok limited ya  ini nomor langganan speedy saya 0141131107033  thx',negatif,,,
'isi pulsa byr tag listrik telp speedy dll ckp dr HP sndiri tnp antri.caranya mdh knjngi https://t.co/GJXrvMG6qc cc: @dutapulsa',netral,,,
'@TelkomCare  mhn segera dibantu solusi atas gangguan telp&internet speedy sejak 31 okt  sampai detik ini masih problem. no telp 0542 424702',negatif,,,
'@TelkomCare kenapa speedy  saya led bola dunianya ga nyala ya (internet mati ) ? no speedy 64688961 jaktim https://t.co/lOcAr2X5Qx',negatif,,,
'speedy sudah menjangkau ke pelosok desa gak ya https://t.co/TBkI6Co6UX',netral,,,
'@ErahSoo speedy recovery erahhh. Kena operate sebab apa ni erah? Sakit apa?',netral,,,
'Speedy kampang!',negatif,,,
'@telkomcare .. Speedy dirumah ga bisa conek tolong bantuannya doongg',negatif,,,
'@TelkomCare.. Speedy dirumah gangguan tolong dong diperbaiki',negatif,,,
'Padah tak sehat still keluar. Takda la speedy recover gini',netral,,,
'@TelkomSolution min speedy dkntor saya knpa slalu eror. Menganggu pekerjaan. No plnggan 122311250461 mohon dcek n dprbaiki. Tku',negatif,,,
'@TelkomCare Speedy saya down terus....',negatif,,,
'Craving ayam goreng speedy ABC dengan Char kuetiaw _ôÖ_',netral,,,
'Speedy saya down .......Speedy gak ada respon....',negatif,,,
'@TelkomCare Gimana sih min kerjaan telkom  speedy ane blm dipegang jg dr tgl 20 okt 2015 skrng udah November loh min @TelkomIndonesia',negatif,,,
'@TelcomCare mohon segera diproses  gangguan speedy pengaduan nomor 151102008478  krn g bisa kerja nih speedynya g connect.',negatif,,,
'@TelkomCare Slmt sore  u/ no speedy 122861212360 upgrade dr indihome 2mb ke 5mb dg useetv tp tdk ada permin dr saya. mohon dkmblkn kpkt awal',netral,,,
'@TelkomCare saya mengajukan pencabutan speedy pada tanggal 28 oktober 2015 di telkom 147..',netral,,,
'kuota beak jaringan speedy butut udud beak di beskem sorangan beuteung lapar  ararantik! ;'(',negatif,,,
'ganti password speedy: https://t.co/d1zGldgS06 melalui @YouTube',netral,,,
'@TelkomCare tolong speedy mati total sudh 1 minggu sdh tlp 147 tapi tdk ada solusi dsrh menunggu menunggu padahal speedy paket bisnis',negatif,,,
'@missct96 kenapa dgn tgn tu? Speedy recovery _ôÖñ',netral,,,
'@TelkomCare  mohon informasi untuk telpon dan speedy daerah CITRA INDAH mati dari pagi sampai saat ini blm ada perbaikan',negatif,,,
'@TelkomCare semalam udah telp 147  tadi dari pagi sampai sekarang koneksi tetap putus-putus. harus sabar memang kalo pake speedy #sedih',negatif,,,
'@TelkomCare speedy nya eror sejak hari sabtu  ga bisa buat internet ;-;',negatif,,,
'@e100ss @TelkomCare @TelkomIndonesia Sebenarnya butuh waktu berapa lama sih untuk perbaikan jaringan speedy buat pelanggan ? Kok seperti ini',negatif,,,
'@TelkomCare hari ini telpon speedy dan useetv mati mohon perbaikan sudah info 147 seperti biasa not action talk only',negatif,,,
'@Irwansumadi speedy recovery irwan jaga diri baik :)',netral,,,
'@TelkomCare selamat siaang  speedy saya bermasalah dirumah  lampunya nyala semuanya tetapi tidak ada data yang masuk  itu kenapa yaa?',negatif,,,
'@TelkomCare saya mau tanya..bgm caranya pasang wifi speedy d rumah? maaf saya blm tau',netral,,,
'Tujuan beli paket @XL123 @XLCare biar bisa inet waktu mati lampu karena speedy mati. Eh signal xl ternyata mati juga ketika listrik mati...',negatif,,,
'Ngeselin bgt ini speedy tiap mau buka website yg kebuka malah jardiknas  hrrrr. @TelkomCare',negatif,,,
'@TelkomCare buatin tiket deh min  biar ntar ad teknisi yg datang. Nomer speedy sm kyk kmrn  masalah sama',negatif,,,
'@TelkomCare iya min  line tlp nya mati tp speedy nya lancar2 aja',negatif,,,
'@TelkomCare ka kalo mau pasang speedy gmn ya cara nya   sama rincian biaya dan info pemasangan nya',netral,,,
'Harus gimana lagi ngadepin speedy..... *pengen nangis internet ga jalan2*',negatif,,,
'@Justin_Speedy dangit',netral,,,
'@TelkomCare speedy sudah seminggu mati. Jaringan tlp juga mati. Tolong untk perbaikannya.',negatif,,,
'butuh bayar PLN  Speedy dan Lain sebagainya? bisa hubungi kami di 0811 98 330 39 (#iqbalseptari) BBM : 53E6A48F',netral,,,
'@TelkomCare Min  speedy di Rumah saya lelet banget nih!!',negatif,,,
'@TelkomCare dear Telkom  mohon dibantu 02188990387 abis ujan telpon dan speedy mati...trims',negatif,,,
'Hi @TelkomCare bisa tolong dibantu kenapa koneksi speedy saya (account: 122122216784) lambat / drop sekali sudah seminggu ini.. thx..',negatif,,,
'@TelkomCare cb cek speedy mati lagi 0271729012',negatif,,,
'Buka twitter cm buat komplain speedy',negatif,,,
'Apa tu M.X.T?  Pembina otot + Pembesar otot + Pengeras Otot + Penebal otot + Urat2 konfem timbul+ speedy recover... https://t.co/GysNda8KIv',netral,,,
'Photographer kesayangan kena operate mata esok. Speedy recovery anney! Sorry wa dekat jb :( https://t.co/k4Yj1JZfI9',netral,,,
'speedy abal bgt',negatif,,,
